Date,Number of Trxs,Amount,Holiday Name,Holiday Type,day,month,year,weekday,dayName,is_weekend,is_weekday,days_in_month,is_holiday,is_dayoff
2018-12-19,189.0,270980.0,,,19,12,2018,2,Wednesday,0,1,31,0,0
2018-12-20,248.0,398560.0,,,20,12,2018,3,Thursday,0,1,31,0,0
2018-12-21,191.0,296120.0,,,21,12,2018,4,Friday,1,0,31,0,1
2018-12-22,218.0,323650.0,,,22,12,2018,5,Saturday,1,0,31,0,1
2018-12-23,194.0,275740.0,,,23,12,2018,6,Sunday,0,1,31,0,0
2018-12-24,456.0,985510.0,,,24,12,2018,0,Monday,0,1,31,0,0
2018-12-25,407.0,796920.0,,,25,12,2018,1,Tuesday,0,1,31,0,0
2018-12-26,351.0,681230.0,,,26,12,2018,2,Wednesday,0,1,31,0,0
2018-12-27,386.0,597140.0,,,27,12,2018,3,Thursday,0,1,31,0,0
2018-12-28,276.0,475310.0,,,28,12,2018,4,Friday,1,0,31,0,1
2018-12-29,359.0,572400.0,,,29,12,2018,5,Saturday,1,0,31,0,1
2018-12-30,283.0,370640.0,,,30,12,2018,6,Sunday,0,1,31,0,0
2018-12-31,342.0,511430.0,,,31,12,2018,0,Monday,0,1,31,0,0
